content,translated_content,polarity,sentiment
ambil foto nge buram heran kamera handphone buruk jelek pilih foto galeri gilir ambil foto gambar buram fokus verifikasi tolak salah aplikasi,"take a blurry photo, I'm surprised the cellphone camera is bad, ugly, choose a photo, gallery, take turns, take a photo, blurry image, focus, verify, reject, wrong application",-0.44999999999999996,negatif
aneh gagal verifikasi alas gagal stnk contoh tulis baca gagal anggar bumn aplikasi beres,strange failed verification failed STNK example of writing reading failed bumn fencing application finished,-0.3875,negatif
spbu aplikasi gilir bayar pakai mypertamina error,gas station application pay in turns using mypertamina error,0.0,netral
ambil barcode,get barcode,0.0,netral
daftar jirrrr foto ktp tolak jir,list jirrrr photo ktp reject jir,0.0,netral
atur fokus aplikasi fitur cahaya pindai stnk hasil buram baca aplikasi,set focus application feature light scan stnk blurred results read application,0.4,positif
tangan daftar unit lambat minggu daftar unit gara daftar roda mobil tuju subsidi sulit rakyat,hand list unit slow week list unit because list wheel car heading subsidy difficult people,-0.4,negatif
sulit,difficult,-0.5,negatif
daftar ganti plat pajak ganti plat daftar kode qr,tax plate change list change plate qr code list,0.0,netral
kamera foto berkas pakai kamera ultrawide kamera utama akses aplikasi paham kamera ultrawide milik hasil foto bagus kamera utama bagus ultrawide tolong timbang kembang kasihan masyarakat daftar hasil foto gagal,camera photo file use ultrawide camera main camera access application understand ultrawide camera property good photo results main camera good ultrawide please weigh the flowers pity the community list of failed photo results,0.18888888888888886,positif
susah daftar pakai ktp,hard to register using KTP,-0.2916666666666667,negatif
akun,account,0.0,netral
mantap,Excellent,1.0,positif
kaya tanggap coba ulang kali unggah ktp hubung email solusi butuh mohon baik,like responsive try again upload ktp connect email solution needed please be good,0.7,positif
masuk foto stnk galeri foto langsung gagal stnk sesuai,Enter the STNK photo gallery photo directly failed STNK according to,-0.5,negatif
tingkat bagus batu,good grade stone,0.7,positif
kelas otp masuk masuk,class otp login login,0.0,netral
laris sulit desain chrome admin ubah ubah sistem daftar program perintah pakai foto handphone pakai foto live susah bidik kamera bagus sulit guna,selling hard chrome design admin change system list of command programs use cellphone photos use live photos hard to aim good camera hard to use,-0.007727272727272749,negatif
mobil tua daftar barcode pajak mati warna mobil sesuai warna besi tinggal stnk rusak bayar pajak miskin mohon hilang barcode pakai barcode orang kaya mobil mewah susah mobil buruk isi tamak,old car list of barcodes tax expired car color according to the color of the iron only vehicle registration damaged pay tax poor please lost barcode use barcode rich people luxury car difficult bad car greedy,-0.1875,negatif
coba,try,0.0,netral
solusi pusat bantu daftar mypertamina vc unit mobil,mypertamina vc car unit help center solution,-0.1,negatif
bagus,Good,0.7,positif
tolong update aplikasi aju kali tolak foto stnk murni salah aplikasi kamera buram buka aplikasi mypertamina buka aplikasi bawa handphone kamera bagus buram,"please update the application, this time the STNK photo is rejected, the application is purely wrong, the camera is blurry, open the MyPertamina application, open the application, bring a cellphone, the good camera is blurry",0.04999999999999999,positif
mudah transaksi terima kasih,easy transaction thank you,0.43333333333333335,positif
tugas erti bayar pakai my pertamina erti malas,work means paying using my Pertamina means being lazy,-0.25,negatif
tolong tambah metode bayar via dana,please add a payment method via funds,0.0,netral
manfaat,benefit,0.0,netral
tanggal kemarin kirim email sanggah negative list kode qr blokir alas isi bensin kapasitas qr blokir isi subsidi nyata syarat jelas follow up kait minggu chat email facebook instagram jawab suruh tunggu kecewa,yesterday's date send email rebuttal negative list qr code block base fill petrol capacity qr block fill real subsidy clear conditions follow up hook week chat email facebook instagram reply told to wait disappointed,-0.31000000000000005,negatif
bantu,help,0.0,netral
kendala daftar kendara coba kali solusi buat sistem kirim data stnk foto kendara gagal pesan salah sistem silah coba,vehicle registration problem try this solution for vehicle registration photo data sending system failed message wrong system please try,-0.5,negatif
praktis,practical,0.0,netral
mantap,Excellent,1.0,positif
tambah unit subsidi subsidi data kirim salah sistem kali kali coba,add subsidy unit subsidy data send wrong system try again,-0.5,negatif
susah bikin barcode,hard to make barcode,-0.2916666666666667,negatif
bagus,Good,0.7,positif
fitur ganti nomor hubung gopay ovo,Gopay Ovo change number feature,0.0,netral
daftar gagal blanko stnk habis telepon call center solusi stempel blanko tanda proses tolong depa solusi,failed registration blank STNK expired call center solution blank stamp process sign please help solution,-0.15,negatif
puas,satisfied,0.5,positif
mantap,Excellent,1.0,positif
atur susah barcode kedaluwarsa update daftar ulang sulit stnk terang,set difficult expired barcode update re-registration difficult STNK clear,-0.3,negatif
mantap alhamdulillah jadzakallaah khair kashiraahu,"Great, thank God, may Allah bless you",0.8,positif
daftar susah tolak data sesuai isi minyak pakai barcode dapat barcode susah ampun benah,list of difficult to reject data according to oil content using barcode getting barcode is very difficult to fix,-0.575,negatif
proses kendala pindai stnk alas stnk hologram buka hologram tulis stnk buka sobek admin,STNK scan obstacle process STNK base hologram open hologram write STNK open tear admin,-0.26666666666666666,negatif
poin bayar cash tunai kompetitor belah,cash pay point cash competitor split,0.0,netral
bantu antri cruiser,help queue cruiser,0.0,netral
susah orang,hard people,-0.2916666666666667,negatif
moga pom pakai mypertamina,Hopefully the gas station uses MyPertamina,0.0,netral
update sulit lambat my pertamina hemmm,update is difficult and slow my pertamina hmmm,-0.4,negatif
aplikasi sulit rakyat,people's hard application,-0.2916666666666667,negatif
sulit masyarakat aplikasi baru kaya gin repot bikin ambil galeri foto ktp langsung foto tolong adakan aw buat terima kasih,"It's hard for people to make new applications like this, it's a hassle to take a photo gallery of your ID card directly, please make an aw for it, thank you",-0.018434343434343442,negatif
puas terima kasih layan bagus,satisfied thank you good service,0.6,positif
login format salah nomor handphone sandi ganti sandi,login format wrong mobile number password change password,-0.5,negatif
ambil gambar ktp super buruk habis ktp bilang pakai kamera super,take a super bad ID card picture because the ID card says use a super camera,-0.011111111111111072,negatif
mobil daftar,car list,0.0,netral
unggah foto stnk unggah galeri file unggah kamera langsung buram sebab verifikasi tolak bikin darah unggah stnk kamera foto buram mohon baik baik kecewa unggah foto buram pakai android,upload vehicle registration certificate photo upload file gallery upload camera directly blurry because verification rejected make blood upload vehicle registration certificate camera blurry photo please be kind disappointed upload blurry photo using android,-0.01666666666666668,negatif
mantap mantap,steady steady,0.16666666666666666,positif
admin roda ganti langsung otomatis roda mobil pilih otomatis verifikasi tambah barcode blokir atas selesai atas tolong bantu admin biar alami selesai isi solar admin barcode atas proses tolong bantu,admin change wheels directly automatically car wheels select automatically verify add barcode block top finished top please help admin so it's natural finish fill solar admin barcode top process please help,0.34,positif
foto aplikasi buram kali coba foto stnk gagal aplikasi sengaja susah registrasi aplikasi cus,blurry application photo try to take vehicle registration photo failed application deliberately difficult to register application cus,-0.5,negatif
bayar linkaja,pay linkaja,0.0,netral
update pakai curang spbu isi pegawai bilang pakai mypertamina pegawai kurang isi pegang lepas full tuas main pegawai jari tarik lepas isi curang isi drum dirigen tong laku layan isi aneh cctv bukti cek cctv,update using cheating gas station filling employee said using mypertamina employee not filling enough hold release full lever play employee finger pull release fill cheating fill drum conductor barrel sell serve fill strange cctv proof check cctv,0.09999999999999999,positif
seta ganti plat nomor niat update aplikasi fitur ambil foto stnk buram mohon baik kasih fitur ambil foto galeri,"After changing the license plate number, I intend to update the application with the feature to take blurry vehicle registration photo. Please be kind and provide a feature to take gallery photos.",0.6,positif
kamera web foto stnk besar fokus hasil buram tolak ulang kali sulit registrasi,large focus vehicle registration photo webcam blurry results rejected repeatedly difficult to register,-0.14285714285714285,negatif
input manual update enak susah baru mudah sulit,manual input update easy difficult new easy difficult,0.00060606060606061,positif
aplikasi customer pcc kocak mobil daftar isi formulir mohon tuju daftar ulang hubung customer pcc suruh isi formulir mohon coba isi formulir mohon tunggu bulan hubung pcc suruh daftar pasti tidak aplikasi customer pcc buruk,funny pcc customer application car register fill out the form please go to re-register contact pcc customer ask to fill out the form please try to fill out the form please wait a month contact pcc ask to register definitely not bad pcc customer application,0.29999999999999993,positif
oke mantap laaaa,"okay, that's great",0.65,positif
aman daftar unggah foto stnk sulit mohon aplikasi baik admin,safe register uploading STNK photo is difficult please good application admin,0.2333333333333333,positif
foto stnk unggah mohon bantu foto unggah bagus foto baca sistem tolong pertamina foto unggah album mudah,STNK photo upload please help upload good photo read system photo please Pertamina photo upload album easy,0.5666666666666667,positif
mantap,Excellent,1.0,positif
kek bayar pakai gopay spbu mesin edc rusak rusak jamaah,"like paying using gopay, the gas station EDC machine is broken, the congregation is broken",-0.4,negatif
bagus,Good,0.7,positif
foto stnk ambil galeri kaya,STNK photo take rich gallery,0.375,positif
kualitas buruk update unggah foto kamera buram fokus,bad quality update upload photo camera blurry focus,-0.6999999999999998,negatif
cepat praktis aman,fast practical safe,0.35,positif
aplikasi customer whatsapp rekrut cepat worth call center email telepon via video call aplikasi antri urgent,whatsapp customer application fast recruitment worth call center email phone via video call urgent queue application,0.13333333333333333,positif
guna mudah kendala pom desa pom bayar pakai mypertamina moga optimal pom,"to make it easier to pay for village gas stations, gas stations use MyPertamina, hopefully the gas stations will be optimal",0.0,netral
cepat pakai antri,fast use queue,0.2,positif
moga,Hopefully,0.0,netral
sial,Unlucky,0.0,netral
kamera ambil foto stnk kamera aktif buram sulit guna,camera takes photo of vehicle registration certificate camera is active blurry difficult to use,-0.31666666666666665,negatif
ajar,teach,0.0,netral
kamera subsidi foto stnk daftar barcode kamera buram coba handphone susah daftar tolong baik,subsidized camera photo vehicle registration barcode list blurry camera try cellphone difficult to register please be kind,0.04999999999999999,positif
sulit maksimal fitur,hard to maximize features,-0.2916666666666667,negatif
lumayan wlo susah daftar,Not bad even though it's hard to register,0.02916666666666662,positif
tadu unduh gagal cepat,download failed fast,-0.15,negatif
admin daftar ubah nomor plat gagal,admin list change plate number failed,-0.5,negatif
aplikasi rang foto data stnk aplikasi hasil buram tes kamera bawa handphone cerah saran tambah fitur unggah sistem kamera aplikasi kurang resolusi olah handphone kamera buruk,photo ranking application vehicle registration data application blurry results camera test bring a bright cellphone suggestion add upload feature camera system application low resolution cellphone processing bad camera,7.401486830834377e-17,positif
hasil update foto pilih pakai kamera default hasil tangkap foto serasa lambat lot turun kualitas aplikasi sulit daftar pakai handphone ram pakai handphone ram unggah foto stnk gagal pakai wifi data gambar mb gambar rasa beda susah unggah foto,photo update results select use default camera photo capture results feel slow a lot down application quality is difficult to register using cellphone ram using cellphone ram uploading vehicle registration photo fails using wifi image data mb image feels different difficult to upload photos,-0.32592592592592595,negatif
pom bensin tolak mesin rusak alat barcode bikin aplikasi,Gas station rejects broken machine barcode tool to make application,-0.4,negatif
foto kamera stnk pilih kualitas foto pilih galeri foto buram kamera handphone jernih,STNK camera photo select photo quality select blurry photo gallery clear cellphone camera,0.10000000000000002,positif
aplikasi bagus tampil tagih gas kembang baik,good app looks good bill gas kembang,0.7,positif
kali kali coba daftar unit verifikasi tolak alas foto stnk baca baca kamera aplikasi bikin buram,"try to register the verification unit, reject the STNK photo base, read the camera, the application makes it blurry",-0.8,negatif
manfaat ojek online,Benefits of online motorcycle taxis,0.0,netral
gin susah susah,Gin is difficult,-0.5,negatif
kali kali foto stnk buram gambar buram foto kamera tolong benar bikin sulit masyarakat,"Sometimes the vehicle registration photo is blurry, the camera photo is blurry, please help, it really makes things difficult for the public",-0.09999999999999999,negatif
login reset pin link masuk whatsapp,login reset pin link login whatsapp,0.0,netral
cepat pakai mypertamina,quickly use mypertamina,0.3333333333333333,positif
bantu,help,0.0,netral
aplikasi buruk ambil foto kamera buram mb sih bikin rakyat susah beli solar pom liter nelayan pakai barcode barcode beli ecer rasa beda uang si selisih pas harga tolong bikin aplikasi sulit pakai kuota nyekik,bad application takes blurry camera photos mb makes it difficult for people to buy diesel pom liters fishermen use barcodes barcodes buy retail tastes are different for money si the difference is right in price please make the application difficult to use annoying quotas,-0.36904761904761907,negatif
website subsidi sulit pakai ktp digital website kelas perintah sulit ambil foto ktp galeri bikin bijak imbang teknologi mudah kantor sulit,subsidy website difficult to use digital ID card website command class difficult to take ID card photo gallery make wise balance easy technology office difficult,-0.061111111111111116,negatif
ambil gambar galeri langsung foto aplikasi,take picture gallery direct photo app,0.1,positif
keren,Cool,0.35,positif
kaya galeri foto foto langsung stnk foto stnk asli langsung foto layar salin coba foto potong sering salah sistem foto buram fokus kamera tolong admin update foto galeri foto,rich photo gallery direct photo of vehicle registration certificate original vehicle registration certificate photo direct screen photo copy try photo cut often wrong blurry photo system camera focus please admin update photo gallery photo,0.09,positif
mohon buat barcode subsidi unggah foto stnk baik foto kamera buruk foto tempat cahaya terang,"please make a subsidy barcode, upload a photo of the vehicle registration certificate, a good photo of the camera, a bad photo of a brightly lit place",0.2333333333333334,positif
isi bensin langsung pakai gopay,fill up with petrol directly using gopay,0.1,positif
bolak unggah data selesai verifikasi akun kabar,Upload data back and forth after account verification,0.0,netral
mantap,Excellent,1.0,positif
kacau mypertamina verifikasi tolak data database tolong woi ambil galeri foto kamera,messed up mypertamina verification rejects database data please hey take camera photo gallery,0.0,netral
bagus,Good,0.7,positif
terima kasih,Thank You,0.0,netral
buruk kualitas kamera buram,bad quality camera blurry,-0.6999999999999998,negatif
oke,Okay,0.5,positif
kendala hubung gopay metode bayar mohon baik terima kasih,Gopay connection problem payment method please be kind thank you,0.6,positif
aplikasi aneh verifikasi data sesuai gagal isi keliru,strange application data verification according to failed content wrong,-0.35000000000000003,negatif
bagus,Good,0.7,positif
aplikasi error,application error,0.0,netral
sulit daftar foto stnk gagal aplikasi yaaallllahhh seng ter,"it's hard to register a vehicle registration photo, the application failed, oh my gosh",-0.39583333333333337,negatif
bantu,help,0.0,netral
bagus,Good,0.7,positif
unggah ktp pakai aplikasi susah fokus,upload ktp using application hard to focus,-0.2916666666666667,negatif
tugas,task,0.0,netral
good salam mypertamina tolong bantu barcode subsidi pertalite pendar kendara akun verifikasi tolong arah terima kasih,good greetings mypertamina please help barcode subsidy pertalite pendar kendall account verification please give directions thank you,0.7,positif
muat ulang,reload,0.0,netral
barcode ulang kali reset barcode mobil pakai barcode atur verifikasi nomor plat barcode,barcode reset car barcode using barcode set barcode plate number verification,0.0,netral
tolong baik foto stnk file mb atas salah,"please take a good photo of the STNK file above, it's wrong",0.06666666666666665,positif
server masalah,server problem,0.0,netral
tolong sistem baik ambil foto buruk hasil foto buram sulit bikin darah balik ambil foto galeri,please good system take bad photo result blurry photo hard to make blood back take photo gallery,-0.07291666666666664,negatif
jual gas,sell gas,0.0,netral
bantu aktivitas hari,help daily activities,0.0,netral
aplikasi bodoh fungsi rakyat susah pasang aplikasi bodoh,stupid application function people find it difficult to install stupid applications,-0.6999999999999998,negatif
pertamina bagus suka warga negara indonesia cinta produk indonesia,"Pertamina is good, Indonesian citizens love Indonesian products",0.6,positif
cek tagih gas pgn,check pgn gas bill,0.0,netral
baik akses kamera ganggu,good camera access is disturbing,0.09999999999999998,positif
mantap,Excellent,1.0,positif
mantap lancar,steady smooth,0.2833333333333333,positif
buruk masak tolak kirim foto,bad cook refuse to send photo,-0.6999999999999998,negatif
aplikasi pakai ambil foto izin aplikasi kamera izin admin,application use take photo permission camera application admin permission,0.0,netral
sulit saat lihat barcode login daftar,difficult when seeing the login register barcode,-0.5,negatif
verifikasi data lurah pilih ketik manual,"Verify village head data, select manual typing",0.0,netral
update bagus nge error ayo guna turun bintang biar baik aplikasi,"good update, no errors, let's use the stars so that the application is good",0.7,positif
sulit daftar barcode ulang kerja ade,hard to register barcode re-work ade,-0.2916666666666667,negatif
tolong baik kamera unggah stnk buram kamera bagus ambil galeri pakai kamera bawa bagus ambil galeri tolong baik,please good camera upload STNK blurry camera good take gallery use camera bring good take gallery please good,0.7,positif
good,good,0.7,positif
aplikasi buruk isi data lap habis isi isi verifikasi foto hasil menu foto ambil galeri harus foto settingan default kamera aplikasi mode wide aplikasi mudah bikin susah,bad application fill in data wipe finished fill in verify photo results menu photo take gallery must take photo default settings camera application wide mode application easy to make difficult,-0.21666666666666662,negatif
susah payah dapat poin ratus angin hujan poin hilang refresh bodoh tuh poin terima kasih,hard work to get hundreds of points wind rain points lost refresh stupid points thank you,-0.5458333333333333,negatif
aplikasi laku paksa karyawan spbu fake transaksi lawak pertamina,application forced gas station employees fake transaction joke pertamina,-0.4,negatif
qr kode mypertamina beli kendara show room bekas tangan kendara daftar nomor polisi my pertamina daftar mypertamina tolak mohon jelas saran terima kasih,qr code mypertamina buy vehicle showroom used vehicle register police number my pertamina register mypertamina reject please clarify suggestions thank you,0.0,netral
unduh isi jaga bilang pakai mypertamina,download the contents of the guard saying use mypertamina,0.0,netral
registrasi pandu foto stnk foto mobil tolong jelas terima kasih,registration guide photo vehicle registration photo car please explain thank you,0.0,netral
oke,Okay,0.5,positif
coba web aplikasi dua tolak coba kali tolak terang mobil daftar beli mobil second barcode kayak solusi bismillah moga ulas mypertamina depan temu solusi,try web application two reject try times reject bright car register buy second hand car barcode like solution bismillah hopefully review mypertamina in the future meet solution,0.23333333333333336,positif
aplikasi salah sistem urgent sulit fitur kamera langsung aplikasi lot handphone lot tolong kembang mang bijak perhati mudah akses,application wrong system urgent difficult live camera feature application lot handphone lot please flower wise mang pay attention easy access,0.05393939393939393,positif
kamera buruk input foto,bad camera photo input,-0.6999999999999998,negatif
login nomor handphone pin reset pin pakai pin login,login mobile number pin reset pin use pin login,0.0,netral
cocok,suitable,0.55,positif
aplikasi beban lihat qr sulit login,load application see qr difficult to login,-0.5,negatif
cacat gilir capai antri aplikasi error pergi tarik tunai antri,defective turn reach queue application error go cash withdrawal queue,0.0,netral
mantap sasar,steady on target,0.16666666666666666,positif
pakai barcode ganti plat bikin barcode unggah stnk ganti handphone unggah galeri susah sih,"Use barcode to change license plate, make barcode, upload vehicle registration certificate, change cellphone, upload gallery, it's hard",-0.2916666666666667,negatif
aplikasi buruk salah barcode sengaja barckode data kendara valid susah barcode faktor kurang kendara bahan bakar minyak terima kasih,"Bad application, wrong barcode on purpose, valid vehicle data barcode, difficult barcode factor, lack of fuel oil, thank you",-0.5666666666666665,negatif
aneh aplikasi kendara daftar login web guna aplikasi buang anggar,strange application drive list login web for application throw fence,-0.05,negatif
update,update,0.0,netral
mantap cepat aman,steady fast safe,0.2888888888888889,positif
stnk input galeri sungguh repot,stnk input gallery is really troublesome,0.2,positif
barcode orang coba bikin adu gagal gagal aplikasi cacat,barcode people try to make a duel fail fail application defect,-0.5,negatif
sulit ubah data kali foto stnk gagal kamera buram hadeuh sulit hidup sulit sulit ma aplikasi,"it's hard to change data, sometimes the vehicle registration photo fails, the camera is blurry, oh my, it's hard to live, it's hard, it's hard with the application",-0.2550505050505051,negatif
oke,Okay,0.5,positif
fungsi,function,0.0,netral
error kirim data stnk foto kendaran,error sending vehicle photo STNK data,0.0,netral
sulit,difficult,-0.5,negatif
good,good,0.7,positif
pds akses aplikasi baca maps masuk alamat susah beli gas sulit,pds access application read maps enter address difficult buy gas difficult,-0.5,negatif
oke,Okay,0.5,positif
